,,MONGODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASSANDRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARIADB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUERY1,db25,6,6,6,5,9,8,10,10,9,8,10,7,5,6,6,5,6,5,7,5,9,5,6,5,5,6,6,6,6,5,7,119,90,95,82,95,100,91,85,101,90,79,83,83,97,81,84,80,82,76,77,84,79,84,76,76,87,87,86,83,94,79,52,45,49,55,48,59,49,45,83,56,64,49,51,46,48,70,47,47,53,71,47,58,53,59,50,55,55,50,49,46,55
,db50,12,16,13,16,16,15,14,14,14,13,13,14,14,14,16,16,14,16,14,16,15,20,15,14,14,14,14,14,15,14,14,91,90,82,82,80,84,86,84,86,86,92,85,90,112,86,87,85,89,84,79,90,83,85,93,86,81,121,103,122,143,85,111,81,94,80,95,81,83,97,82,80,99,80,92,111,88,87,77,103,80,78,87,81,81,81,87,87,76,88,80,93,85
,db75,21,21,22,22,21,21,21,21,23,21,21,21,21,21,18,18,18,18,17,17,18,20,18,17,18,20,18,17,18,18,19,103,77,77,89,85,80,100,87,76,85,86,88,79,83,80,86,97,86,101,87,93,88,77,86,90,84,98,90,91,98,77,111,110,137,119,120,114,119,115,130,112,126,106,114,119,115,109,112,123,118,117,124,115,112,112,104,123,118,114,109,116,115
,db100,28,23,24,23,24,23,23,23,23,23,23,24,24,23,23,22,23,24,23,26,23,24,23,22,23,24,23,23,22,24,22,96,90,83,84,85,93,103,96,98,83,85,84,82,83,94,80,104,89,87,91,81,93,81,78,100,94,89,102,91,83,89,220,154,188,141,146,143,145,152,149,150,152,144,139,142,139,141,141,166,195,210,152,617,183,180,259,183,210,264,133,159,152
QUERY2,db25,18,14,12,11,11,10,11,11,11,10,13,11,13,11,12,12,11,11,10,11,11,10,12,10,11,10,12,10,10,12,11,131,126,123,122,109,112,110,129,116,109,117,119,122,113,120,111,110,114,115,113,126,106,116,110,121,105,120,128,126,117,107,13,10,10,10,11,10,12,10,9,10,10,10,11,10,11,10,11,10,10,10,11,9,11,9,10,11,10,11,10,10,11
,db50,20,21,21,21,20,21,22,21,23,23,21,24,24,24,24,24,21,21,21,21,20,21,20,20,21,20,21,20,22,23,22,213,215,212,223,225,220,222,218,234,221,219,215,224,215,233,225,216,230,233,213,239,211,220,224,220,221,223,219,219,217,213,23,20,20,22,20,22,22,21,20,21,20,20,21,20,23,23,21,19,22,21,21,23,20,20,23,20,21,23,21,23,20
,db75,32,30,30,30,30,30,30,31,31,31,30,31,31,34,31,35,41,31,35,34,35,35,34,34,34,36,38,36,35,36,35,322,331,334,330,330,331,332,341,335,344,325,326,331,327,335,338,326,326,338,327,321,327,333,320,345,333,331,328,362,334,322,35,32,32,32,32,34,32,32,31,33,37,34,33,33,32,36,32,32,33,32,34,33,33,33,32,32,33,33,32,33,33
,db100,46,45,45,45,44,40,42,45,41,40,40,40,40,41,40,41,39,42,45,41,41,41,39,41,41,41,40,40,39,45,47,460,470,495,481,468,459,455,445,449,466,452,474,449,461,469,450,446,449,441,441,447,453,470,461,444,452,449,447,452,457,446,43,48,48,45,46,46,45,45,44,50,43,44,48,50,48,47,43,50,46,49,48,47,44,46,60,46,44,47,43,44,43
QUERY3,db25,15,15,19,13,13,12,12,12,15,15,12,14,13,12,11,10,12,13,11,10,12,11,10,11,12,13,13,14,12,11,15,128,132,114,110,106,119,113,119,117,107,117,110,109,108,113,108,109,114,112,108,110,109,117,113,107,107,111,106,111,108,113,10,13,12,15,11,14,11,11,11,12,11,10,11,11,10,10,10,10,10,10,11,13,11,12,13,15,11,13,11,13,14
,db50,26,25,25,24,24,24,25,24,21,22,22,21,22,25,25,23,24,23,21,21,21,22,21,22,22,22,23,22,22,23,23,210,221,214,215,215,212,216,225,227,240,216,214,225,215,217,213,221,210,214,218,215,214,225,218,208,222,252,219,213,231,229,20,22,21,22,22,22,20,21,21,22,19,21,20,22,22,22,20,22,19,22,21,21,20,25,22,27,24,25,25,23,21
